Model,Accuracy,Precision,Recall,F1,ROC-AUC
LightGBM,0.7652002486736901,0.40089712616602047,0.6235210968973073,0.4880081872008025,0.7815756289685379
XGBoost,0.7555732544788539,0.38929023008145125,0.6363135203901336,0.4830445116467845,0.7803269358385561
Random Forest,0.7930589256475205,0.4363300557007405,0.5244186868329918,0.47632269473605715,0.7674113866293671
CatBoost,0.7399087799204317,0.3723607656679203,0.6552547883242632,0.47486448352823707,0.7771021857351877
Logistic Regression,0.6350189272076674,0.2764984963117344,0.6394232807972294,0.3860566044226047,0.6874979696031257
